slurm_job_id,node,start,end,paths_file,output_folder,dataset_total_size,processed_total_size,number_of_workers_per_node,batch_size,token_budget,time,bw,total_tokens_processed,throughput (Million Tokens/Second/Node)
1931370,nid007126,Fri Apr 24 00:34:03 CEST 2026,Fri Apr 24 02:02:59 CEST 2026,/iopsstor/scratch/cscs/elyulina/datasets/preprocessing/fineweb-edu-dedup/dumps/paths_file_0.txt,/iopsstor/scratch/cscs/elyulina/datasets/tokenized/fineweb-edu-dedup-160B-datatrove/dump_0,275035295727,321933528112,20,10000,80000000000,5336,51543346.27567466,80080097628,15007514.547976011
1931371,nid007127,Fri Apr 24 00:34:03 CEST 2026,Fri Apr 24 02:04:14 CEST 2026,/iopsstor/scratch/cscs/elyulina/datasets/preprocessing/fineweb-edu-dedup/dumps/paths_file_1.txt,/iopsstor/scratch/cscs/elyulina/datasets/tokenized/fineweb-edu-dedup-160B-datatrove/dump_1,275033984122,321933654316,20,10000,80000000000,5411,50828679.37941231,80079846274,14799454.125669932
